#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1323 VPCMPEQD                     155                0
1338 VPCMPUB                       15                0
1456 VPMINUB                      152                0
1457 VPMINUD                       67                0
1468 VPMOVMSKB                    357                0
1512 VPOR                          15                0
1514 VPORQ                         12                0
1589 VPTERNLOGD                    22                0
1592 VPTESTMB                      44                0
1593 VPTESTMD                      36                0
1608 VPXOR                         27                0
1610 VPXORQ                        90                0
1703 VZEROALL                      19                0
1704 VZEROUPPER                    30                0
1710 WRPKRU                         1                0
1717 XADD_LOCK                     32                0
1719 XCHG                         249                0
1723 XOR                         6828                0
1724 XORPD                          4                0
1743 XTEST                         19                0
3000 *total                    237487                0
3001 *mem-atomic                  654                0
3002 *stack-read                24458               48
3003 *stack-write               27109                0
3004 *iprel-read                 4256                1
3005 *iprel-write                1343                0
3007 *mem-read-1                 5479                5
3008 *mem-read-2                 1032                0
3010 *mem-read-4                 8293               28
3014 *mem-read-8                31206               43
3016 *mem-read-10                  41                0
3022 *mem-read-16                 838                0
3034 *mem-read-28                   6                0
3038 *mem-read-32                1124                0
3070 *mem-read-64                  36                0
3519 *mem-write-1                2018                9
3520 *mem-write-2                 452                0
3522 *mem-write-4                6726                2
3526 *mem-write-8               27067               52
3528 *mem-write-10                 27                0
3534 *mem-write-16               1577                0
3546 *mem-write-28                  5                0
3550 *mem-write-32                489                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   8 ADD                        52672                0
  31 AND                        18152                0
  63 BSF                          858                0
  64 BSR                            4                0
  66 BT                             5                0
  75 CALL_NEAR                   5829                0
  78 CDQE                          18                0
  93 CMOVB                          0               85
  94 CMOVBE                         0                2
  95 CMOVL                          0                2
  96 CMOVLE                         0               14
  97 CMOVNB                         0               22
  98 CMOVNBE                        0              164
 104 CMOVNZ                         0              424
 107 CMOVS                          0                2
 108 CMOVZ                          0             1497
 109 CMP                        69378                0
 123 CMPXCHG_LOCK                  86                0
 126 CPUID                         61                0
 127 CQO                            1                0
 157 DIV                         2099                0
 284 IDIV                           1                0
 285 IMUL                        1319                0
 287 INC                            2                0
 310 JB                          3048                0
 311 JBE                         5989                0
 314 JL                            17                0
 315 JLE                          918                0
